playlist_name,owner_name,total_track,playlist_url
This Is Michael Jackson,Spotify,50,https://open.spotify.com/playlist/37i9dQZF1DZ06evO1SVXaM
Michael Jackson: Greatest Hits,Michael Jackson,44,https://open.spotify.com/playlist/2oKgQmWLlAgCqw0YD8SvEg
Michael Jackson Radio,Spotify,50,https://open.spotify.com/playlist/37i9dQZF1E4m5aoXVdJrlE
BEST OF MICHAEL JACKSON,mccaelo,53,https://open.spotify.com/playlist/4xZkkngX0R5HsNhm4BpeGT
MICHAEL JACKSON MIX😍EXITOS/LO MEJOR,Phil Manzini,34,https://open.spotify.com/playlist/633pFiChr620StHZRFsQAW
This Is The Jackson 5,Spotify,50,https://open.spotify.com/playlist/37i9dQZF1DZ06evO1jm2Q0
Michael Jackson Mega Mix,MCyzz,118,https://open.spotify.com/playlist/4DoHZ2oJlEERyZhSNkFtKs
Michael Jackson: Love Songs,Michael Jackson,20,https://open.spotify.com/playlist/4dtBTL7IHsHWFNrY3WnzAL
Best of Mickael Jackson,celine38138,15,https://open.spotify.com/playlist/7EsV4BtvuFq630yLW72teu
Michael Jackson Playlist 500 songs,317v47rg47crkeaithia52psa6i4,579,https://open.spotify.com/playlist/6jxJYnjwAvfjSe7GnuWDkw
Jackson Dean Mix,Spotify,50,https://open.spotify.com/playlist/37i9dQZF1EIZ8GGhvzzLLM
Top 50 Michael Jackson Songs,Music Playlist,47,https://open.spotify.com/playlist/35lHvGWbIJMJLBNnbu2gLm
Michael Jackson: Remixes,Anto.mp3,84,https://open.spotify.com/playlist/0kSg3q3iLYnj4sAjH5ABIc
Micheal Jackson bangers🔫,Quincy.,28,https://open.spotify.com/playlist/2I1rQcl6z2RVjPTZJgGrYy
Michael Jackson: Deep Cuts,Michael Jackson,21,https://open.spotify.com/playlist/0utJKUyjWF9zjZB2BmaReW
Michael Jackson Christmas,Madd (asf),17,https://open.spotify.com/playlist/7bIZc1VyBSeg1k57uNlXya
MICHAEL JACKSON X HALLOWEEN,Michael Jackson,37,https://open.spotify.com/playlist/1J4o1BHdsR1ci0sUa3P2L4
Michael Jackson: Dance Party,Michael Jackson,59,https://open.spotify.com/playlist/3xlXfTyOj73Gqo8xaBn7h4
Jackson Wang Mix,Spotify,50,https://open.spotify.com/playlist/37i9dQZF1EIW6UpkH0vmwP
The Jacksons Mix,Spotify,50,https://open.spotify.com/playlist/37i9dQZF1EIUBOrfBzTeXo
